Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Voss,Bollinger,Linear Regression Curve
2022-01-13 19:00:00,42709.29,42896.81,42535.0,42700.67,1314.97413,1642103999999,56130158.8722266,40450,650.50276,27767543.0372061,-277.2355947504029,0.0483720294241274,43393.52430769232
2022-01-13 20:00:00,42700.67,42796.18,42311.22,42796.18,1918.7156,1642107599999,81555266.4470867,45809,996.12415,42341044.9265773,-111.82160135299496,0.1653069197789322,43250.13633846154
2022-01-13 21:00:00,42796.18,42879.76,42664.14,42810.99,871.73458,1642111199999,37295927.5995402,28218,405.18081,17335399.8257951,49.511107396667,0.2128044372741949,43141.60775384616
2022-01-13 22:00:00,42810.99,42888.18,42466.64,42594.37,770.26146,1642114799999,32883344.0743964,30427,354.11932,15115434.9215713,133.9380555356845,0.1620911087177914,43050.13775384616
2022-01-13 23:00:00,42597.02,42771.94,42500.0,42560.11,933.52305,1642118399999,39795612.8950853,31583,407.55564,17379639.0718105,192.7682780789977,0.1927807416298462,42931.628
2022-01-14 00:00:00,42558.35,42784.0,42362.91,42750.66,1160.43813,1642121999999,49447493.6021285,37254,611.57689,26057651.4049814,295.874953251337,0.2897243185154675,42824.42218461538
2022-01-14 01:00:00,42750.66,42777.17,42541.81,42581.12,1138.08119,1642125599999,48536589.4751413,31382,564.7001,24082721.3998184,309.5178416375816,0.2511099915254632,42762.56384615384
2022-01-14 02:00:00,42581.12,42728.08,42425.03,42713.89,1136.25985,1642129199999,48375744.6984873,29997,558.85182,23796700.9840739,293.23433533363254,0.313524563738454,42671.16513846154
2022-01-14 03:00:00,42713.89,42738.47,42572.02,42623.87,1100.14262,1642132799999,46924188.9237678,28767,470.30467,20057887.6421942,276.9070026531268,0.3014998141865064,42596.5824
2022-01-14 04:00:00,42623.87,42880.0,42610.02,42680.28,937.36417,1642136399999,40063618.641117,28329,533.43447,22799807.7837445,218.31142612851608,0.333657668594969,42519.25695384616
2022-01-14 05:00:00,42679.0,42905.15,42640.01,42894.92,871.32726,1642139999999,37268869.5747042,28015,479.88203,20521562.8281218,210.64485566249184,0.4101012641388851,42453.11664615384
2022-01-14 06:00:00,42895.0,42978.1,42776.73,42810.22,961.01177,1642143599999,41198775.7481682,33197,508.8637,21816848.3154295,143.86379188320967,0.3942455876113879,42436.04295384616
2022-01-14 07:00:00,42810.22,42886.58,42599.99,42660.01,1246.12553,1642147199999,53246389.2394656,32965,443.02624,18932906.3444359,-2.680818307733944,0.3603142196579124,42416.09283076923
2022-01-14 08:00:00,42660.0,42678.82,42244.37,42519.99,1845.45077,1642150799999,78359907.5251647,48738,746.19402,31689354.9086725,-140.9658707771528,0.3307100548233365,42385.02372307691
